nodeid,markers
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=666.67],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=1.005],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=0.005],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=12345.67],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[J flat > subtotal],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[J flat == subtotal],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[J pct 100],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[J pct 100 + flat],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[J pct 99.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[J line 100 + cart 50],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[K min value],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[K max value],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[K many lines],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[K high qty],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[K tiny x huge],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[A price=0.01],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_03_subtotal_is_the_sum_of_its_parts[A price=1],P1|arithmetic|journey|module_billing|parametrize
